"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>"
"items/item_lore_evacuation_drill";"Report on the Failed Evacuation Drill";"Рапорт о провале учений по эвакуации";"Bericht über die fehlgeschlagene Evakuierungsübung"
"items/item_lore_evacuation_drill/desc";"A folder containing a couple of documents";"Папка с документами";"Ein Ordner mit einigen Dokumenten"
"items/item_lore_troitsky_to_platon";"Troitsky-Tupolev Correspondence (1 of 2)";"Переписка Троицкого с Туполевым (1 из 2)";"Troitsky-Tupolev-Korrespondenz (1 von 2)"
"items/item_lore_troitsky_to_platon/desc";"A thick sheet of paper covered in neat handwriting";"Плотный лист бумаги, покрытый красивым почерком";"Ein dickes Blatt Papier mit ordentlicher Handschrift"
"items/item_lore_platon_to_troitsky";"Troitsky-Tupolev Correspondence (2 of 2)";"Переписка Троицкого с Туполевым (2 из 2)";"Troitsky-Tupolev-Korrespondenz (2 von 2)"
"items/item_lore_platon_to_troitsky/desc";"Notes written in a sprawling, illegible handwriting";"Записи, написанные размашистым неразборчивым почерком";"Notizen in unleserlicher, verschlungener Handschrift"
"items/item_lore_soldier_am_contact1";"Private's Observation Log (1 of 2)";"Журнал наблюдений рядового (1 из 2)";"Private's Observation Log (1 of 2)"
"items/item_lore_soldier_am_contact1/desc";"Notes written in a sprawling, illegible handwriting";"Записи, написанные размашистым неразборчивым почерком";"Notes written in a sprawling, illegible handwriting"
"items/item_lore_soldier_am_contact2";"Private's Observation Log (2 of 2)";"Журнал наблюдений рядового (2 из 2)";"Private's Observation Log (2 of 2)"
"items/item_lore_soldier_am_contact2/desc";"Notes written in a sprawling, illegible handwriting";"Записи, написанные размашистым неразборчивым почерком";"Notes written in a sprawling, illegible handwriting"
"items/item_lore_Savushkina_letter1";"Letter from Savushkina to Her Grandson (1 of 2)";"Письмо Савушкиной внуку (1 из 2)";"Letter from Savushkina to Her Grandson (1 of 2)"
"items/item_lore_Savushkina_letter1/desc";"A yellowed sheet of paper covered in fine handwriting";"Пожелтевший от времени лист бумаги, исписанный мелким почерком";"A yellowed sheet of paper covered in fine handwriting"
"items/item_lore_Savushkina_letter2";"Letter from Savushkina to Her Grandson (2 of 2)";"Письмо Савушкиной внуку (2 из 2)";"Letter from Savushkina to Her Grandson (2 of 2)"
"items/item_lore_Savushkina_letter2/desc";"A yellowed sheet of paper covered in fine handwriting";"Пожелтевший от времени лист бумаги, исписанный мелким почерком";"A yellowed sheet of paper covered in fine handwriting"
"items/item_lore_revvol_to_sokolov";"Dal-Sokolov Correspondence (1 of 2)";"Переписка Даля с Соколовым (1 из 2)";"Dal-Sokolov Correspondence (1 of 2)"
"items/item_lore_revvol_to_sokolov/desc";"A yellowed sheet of paper covered in fine handwriting";"Пожелтевший от времени лист бумаги, исписанный мелким почерком";"A yellowed sheet of paper covered in fine handwriting"
"items/item_lore_sokolov_to_revvol";"Dal-Sokolov Correspondence (2 of 2)";"Переписка Даля с Соколовым (2 из 2)";"Dal-Sokolov Correspondence (2 of 2)"
"items/item_lore_sokolov_to_revvol/desc";"A thick sheet of paper covered in neat handwriting";"Плотный лист бумаги, покрытый красивым почерком";"A thick sheet of paper covered in neat handwriting"
"items/item_lore_garage_warning";"Neighbor's Note";"Записка соседа";"Neighbor's Note"
"items/item_lore_garage_warning/desc";"A yellowed sheet of paper covered in fine handwriting";"Пожелтевший от времени лист бумаги, исписанный мелким почерком";"A yellowed sheet of paper covered in fine handwriting"
"items/item_info_notes_fuel_1";"Planner Page";"Страница ежедневника";"Planerseite"
"items/item_info_notes_fuel_1/desc";"A handwritten reminder to not forget to visit the gas station and buy gasoline before heading to the country house.";"Написанное от руки напоминание о том, что нужно не забыть посетить заправку и купить бензин перед поездкой на дачу.";"Eine handschriftliche Erinnerung, nicht zu vergessen, an der Tankstelle Benzin zu kaufen, bevor es zum Landhaus geht."
"items/item_info_notes_fuel_2";"Note about gas station";"Заметка о заправке";"Notiz über die Tankstelle"
"items/item_info_notes_fuel_2/desc";"""Our car is almost out of gas. Visit a gas station on your way to work to refuel it"".";"""У нашей машины почти кончился бензин. Загляни на заправку по пути на работу, чтобы заправить его"".";"„Unser Auto hat fast kein Benzin mehr. Fahre auf dem Weg zur Arbeit an einer Tankstelle vorbei, um es aufzutanken.“"
"items/item_info_notes_fuel_3";"Memo about fuel";"Заметка про бензин";"Memo zum Treibstoff"
"items/item_info_notes_fuel_3/desc";"""Need to visit a gas station. Car is getting low on fuel"".";"""Не забыть посетить заправку. Слишком мало топлива в моей машине"".";"„Muss zur Tankstelle. Der Tank wird langsam leer.“"
"items/item_info_notes_garage_1";"Note about the garage";"Записка про гараж";"Notiz über die Garage"
"items/item_info_notes_garage_1/desc";"""I've cleared out the garage, feel free to park your car there"".";"""Я освободил гараж, можешь поставить свою машину туда"".";"„Ich habe die Garage aufgeräumt, du kannst dein Auto dort parken.“"
"items/item_info_notes_garage_2";"Diary page about a car";"Страница дневника про машину";"Tagebuchseite über ein Auto"
"items/item_info_notes_garage_2/desc";"Note in the diary about the car in the garage needing repairs.";"Заметка в дневнике о том, что машина в гараже требует ремонта.";"Notiz im Tagebuch über das Auto in der Garage, das repariert werden muss."
"items/item_info_notes_garage_3";"Car documents";"Документы на машину";"Fahrzeugdokumente"
"items/item_info_notes_garage_3/desc";"A stack of documents for the car and a garage for it.";"Стопка документов на машину и гараж для нее.";"Ein Stapel Dokumente für das Auto und die dazugehörige Garage."
"items/item_info_notes_medkits_1";"Doctor's notes";"Заметки доктора";"Arztnotizen"
"items/item_info_notes_medkits_1/desc";"Mention of a new batch of medicines delivered to the Hospital.";"Упоминание о новой партии лекарств, привезенных в Поликлинику.";"Erwähnung einer neuen Lieferung von Medikamenten für das Krankenhaus."
"items/item_info_notes_medkits_2";"Calendar with a mark";"Календарь с пометкой";"Kalender mit Markierung"
"items/item_info_notes_medkits_2/desc";"""Visit the Hospital on Tuesday for medication"".";"""Сходить во вторник в Поликлинику за лекарствами"".";"„Besuche das Krankenhaus am Dienstag für Medikamente.“"
"items/item_info_notes_medkits_3";"Note about Medication";"Записка про лекарства";"Notiz über Medikamente"
"items/item_info_notes_medkits_3/desc";"Handwritten text describing the recent visit to the Hospital for medication.";"Рукописный текст, описывающий недавний поход в Поликлинику за лекарствами.";"Handschriftlicher Text über den letzten Besuch im Krankenhaus zur Medikamentenbeschaffung."
"items/item_info_notes_weapons_1";"Shipping manifest #745";"Транспортная накладная №745";"Frachtmanifest #745"
"items/item_info_notes_weapons_1/desc";"Documents about weapons being transported to Hangar 148 at the military base.";"Документы о транспортировке оружия в ангар 148 на военной базе.";"Dokumente über den Transport von Waffen nach Hangar 148 auf dem Militärstützpunkt."
"items/item_info_notes_weapons_2";"Shipping manifest #361";"Транспортная накладная №361";"Frachtmanifest #361"
"items/item_info_notes_weapons_2/desc";"Documents about weapons being transported to Hangar 209 at the military base.";"Документы о транспортировке оружия в ангар 209 на военной базе.";"Dokumente über den Transport von Waffen nach Hangar 209 auf dem Militärstützpunkt."
"items/item_info_notes_weapons_3";"Notes about weapons";"Заметки об оружии";"Notizen über Waffen"
"items/item_info_notes_weapons_3/desc";"Notes of some military serviceman mentioning a new weapon batch arriving to their military base.";"Записи какого-то военнослужащего о поступлении новой партии вооружения на их военную базу.";"Notizen eines Militärangehörigen, in denen eine neue Waffenlieferung für den Stützpunkt erwähnt wird."
"items/item_info_notes_quarry_camp";"Enough!";"Хватит!";"Genug!"
"items/item_info_notes_quarry_camp/desc";"The command requires us to protect transports with some scientific equipment, despite all the hell breaking loose around us. Sacrificing lives for some devices! Let them come out of their protected command posts and do it themselves.
I order everyone who still has their sanity to regroup at the old quarry, where we have a better chance of surviving and waiting out what happened.";"Командование требует от нас защищать транспорты с каким-то научным оборудованием, несмотря на всю чертовщину, что творится вокруг. Жертвовать жизнью ради каких-то приборов! Пускай вылезают из своих защищенных командных пунктов и делают это сами.
Приказываю всем, кто еще не потерял здравый смысл, сгруппироваться на старом карьере, там у нас больше шансов выжить и переждать случившееся.";"Das Kommando verlangt von uns, Transporte mit wissenschaftlicher Ausrüstung zu schützen, obwohl überall das Chaos herrscht. Menschenleben für ein paar Geräte zu opfern! Sollen sie doch selbst aus ihren geschützten Kommandoposten kommen und es tun.
Ich befehle allen, die noch bei Verstand sind, sich am alten Steinbruch zu sammeln. Dort haben wir eine bessere Chance zu überleben und abzuwarten, was passiert ist."
"items/item_info_award_certificate_1";"Award certificate";"Наградная грамота";"Ehrenurkunde"
"items/item_info_award_certificate_1/desc";"Award certificate and a group photo of several officers receiving their award Colts.";"Наградная грамота и групповое фото нескольких офицеров, получающих свои наградные Кольты.";"Eine Ehrenurkunde und ein Gruppenfoto mehrerer Offiziere, die ihre Colts-Auszeichnungen erhalten."
"items/item_info_notes_secret_sniper";"Worn-out note";"Потрепанная записка";"Abgenutzte Notiz"
"items/item_info_notes_secret_sniper/desc";"They won't get me here!";"Здесь они меня не достанут!";"„Hier werden sie mich nicht kriegen!“"
"items/item_info_notes_tower_sensor_1";"Instructions";"Инструкция";"Anleitung"
"items/item_info_notes_tower_sensor_1/desc";"Brief explanation on how to install a device to create an array using 5 sensors.";"Краткое объяснение по установке устройства для создания массива из 5 сенсоров.";"Kurze Erklärung, wie ein Gerät mit fünf Sensoren installiert wird, um ein Array zu erstellen."
"items/item_info_notes_secret_ship_journal_1";"Page from ship's log #1";"Страница из судового журнала #1";"Seite aus dem Schiffslogbuch #1"
"items/item_info_notes_secret_ship_journal_1/desc";"01:15
Approaching Dalniy Island. Smooth sailing so far. Everything's going according to the schedule.";"01:15
Приближаемся к острову Дальний. Все идет гладко, движемся по расписанию.";"01:15
Annäherung an Dalniy Insel. Bisher ruhige Fahrt. Alles läuft nach Plan."
"items/item_info_notes_secret_ship_journal_2";"Page from ship's log #2";"Страница из судового журнала #2";"Seite aus dem Schiffslogbuch #2"
"items/item_info_notes_secret_ship_journal_2/desc";"01:37
We've hit something. Suddenly appeared in our way, faintly glowing in the water. As far as I can tell there is no major damage, but we need to inspect the hull once we reach our destination. Cargo is fine.";"01:37
Мы что-то задели. Оно внезапно появилось на нашем пути, слегка светясь в воде. Насколько я могу судить, серьезных повреждений нет, но нужно будет осмотреть корпус, как только мы достигнем нашего пункта назначения. Груз в порядке.";"01:37
Wir haben etwas getroffen. Es tauchte plötzlich vor uns auf, schwach leuchtend im Wasser. Soweit ich sehen kann, gibt es keinen größeren Schaden, aber wir müssen den Rumpf inspizieren, sobald wir unser Ziel erreichen. Die Fracht ist in Ordnung."
"items/item_info_notes_smuggler_garage_1";"Crumpled piece of paper";"Помятая бумажка";"Zerknittertes Stück Papier"
"items/item_info_notes_smuggler_garage_1/desc";"Ship is coming tonight. Be ready to transfer 'research samples' from the garage.";"Корабль прибывает сегодня ночью. Будь готов перевозить 'научные образцы' из гаража.";"Das Schiff kommt heute Nacht. Seid bereit, die 'Forschungsproben' aus der Garage zu überführen."
"items/item_info_notes_crashed_scientist_car_letter";"Letter";"Письмо";"Brief"
"items/item_info_notes_crashed_scientist_car_letter/desc";"We urgently demand to deliver all results of your research to the military command. The outcome of the operation depends on it.";"Требуем срочно доставить все результаты ваших исследований военному командованию. От этого зависит исход операции.";"Wir fordern dringend, alle Ergebnisse eurer Forschung dem militärischen Kommando zu übermitteln. Der Ausgang der Operation hängt davon ab."
"items/item_info_notes_shotgun_diary";"Diary page";"Страница дневника";"Tagebuchseite"
"items/item_info_notes_shotgun_diary/desc";"Seems like there was a weapon mix-up at the barracks. I wonder how's Kolya doing out there with a sniper rifle...";"Похоже, в казарме перепутали оружие. Интересно, как там Коля справляется со снайперской винтовкой...";"Es scheint, dass es im Barracks einen Waffenmix-up gab. Ich frage mich, wie es Kolya mit einem Scharfschützengewehr da draußen geht..."
"items/am_core_part";"Active matter core part";"Часть ядра активной материи";"Aktives Materie-Kernteil"
"items/valuable_civil_item";"Valuable civil item";"Личная ценность";"Wertvolles ziviles Objekt"
"marketOffer/preset_cheap";"Minimal Self-Defense Set";"Набор минимальной самообороны";"Minimaler Selbstverteidigungs-Set"
"marketOffer/preset_wanderer";"Explorer's Set";"Набор исследователя";"Entdeckerset"
"marketOffer/preset_hunter";"Hunter's Set";"Набор охотника";"Jägerset"
"marketOffer/preset_cqb";"Close Сombat Set";"Набор боя на ближней дистанции";"Nahkampfset"
"marketOffer/preset_mule";"High-load Set";"Набор повышенной грузоподъёмности";"Hochlastset"
"slots/small_armor_plate";"Small armor plate slot";"Слот для малой бронепластины";"Kleiner Rüstungsschutz-Platz"
"slots/large_armor_plate";"Big armor plate slot";"Слот для большой бронепластины";"Großer Rüstungsschutz-Platz"
"slots/helmet";"Helmet slot";"Слот для шлема";"Helmplatz"
"slots/flashlight";"Flashlight slot";"Слот для фонарика";"Taschenlampenplatz"
"slots/signalGrenade";"Signal grenade slot";"Слот для сигнальной гранаты";"Signalfackel-Slot"
"slots/pouch";"Pouches slot";"Слот для подсумков";"Taschenplatz"
"slots/backpack";"Backpack slot";"Слот для рюкзака";"Rucksackplatz"
"slots/safepack";"Safe container slot";"Слот для защищённого контейнера";"Slot für sicheren Container"
"slots/night_vision_device";"NVD slot";"Слот для ПНВ";"NVD-Platz"
"slots/ammo";"Ammo slot";"Слот для боеприпасов";"Munitionsplatz"
"slots/magazine";"Magazine slot";"Слот для магазина";"Magazinplatz"
"slots/scope";"Scope slot";"Слот для прицела";"Zielfernrohrplatz"
"slots/scope_kochetov";"Scope slot (PU)";"Слот для прицела (ПУ)";"Zielfernrohrplatz (PU)"
"slots/scope_picatinny";"Scope slot (Picatinny rail)";"Слот для прицела (Планка Пикатинни)";"Zielfernrohrplatz (Picatinny-Schiene)"
"slots/scope_picatinny_long";"Scope slot (Long Picatinny Rail)";"Слот для прицела (Длинная планка Пикатинни)";"Zielfernrohrplatz (Lange Picatinny-Schiene)"
"slots/scope_dovetail";"Scope slot (""Dovetail"")";"Слот для прицела («Ласточкин хвост»)";"Zielfernrohrplatz (""Dovetail"")"
"slots/scope_dovetail_high";"Scope slot (""Dovetail"" high mount)";"Слот для прицела («Ласточкин хвост» высок. крепл.)";"Zielfernrohrplatz (""Dovetail"" hoher Montager)"
"slots/scope_type_kochetov";"PU";"ПУ";"PU"
"slots/scope_type_picatinny";"Short Picatinny Rail";"Короткая планка Пикатинни";"Kurze Picatinny-Schiene"
"slots/scope_type_picatinny_long";"Long Picatinny Rail";"Длинная планка Пикатинни";"Lange Picatinny-Schiene"
"slots/scope_type_dovetail";"""Dovetail""";"«Ласточкин хвост»";"""Dovetail"""
"slots/scope_type_dovetail_high";"""Dovetail"" (high mount)";"«Ласточкин хвост» (высок. крепл.)";"""Dovetail"" (hoher Montager)"
"slots/silencer";"Silencer slot";"Слот для глушителя";"Schalldämpfer-Platz"
"slots/silencer_pbs";"Silencer slot (PBS)";"Слот для глушителя (ПБС)";"Schalldämpfer-Platz (PBS)"
"slots/silencer_type_pbs";"PBS";"ПБС";"PBS"
"slots/silencer_9_18";"Silencer slot (9x18 mm.)";"Слот для глушителя (9x18 мм.)";"Schalldämpfer-Platz (9x18 mm.)"
"slots/silencer_type_9_18";"9 mm.";"9 мм.";"9 mm."
"slots/silencer_vityaz";"Silencer slot (PP-19-01)";"Слот для глушителя (ПП-19-01)";"Schalldämpfer-Platz (PP-19-01)"
"slots/silencer_m110a1";"Silencer slot (M110A1)";"Слот для глушителя (M110A1)";"Schalldämpfer-Platz (M110A1)"
"slots/silencer_type_vityaz";"9 mm.";"9 мм.";"9 mm."
"slots/silencer_type_m110a1";"7.61x51";"7.61x51";"7.61x51"
"slots/silencer_pp_2000";"Silencer slot (PP-2000)";"Слот для глушителя (ПП-2000)";"Schalldämpfer-Platz (PP-2000)"
"slots/silencer_type_pp_2000";"9 mm.";"9 мм.";"9 mm."
"slots/silencer_545";"Silencer slot (5.45 mm.)";"Слот для глушителя (5.45 мм.)";"Schalldämpfer-Platz (5.45 mm.)"
"slots/silencer_type_545";"5.45 mm.";"5.45 мм.";"5.45 mm."
"slots/silencer_45";"Silencer slot (.45 ACP)";"Слот для глушителя (.45 ACP)";"Schalldämpfer-Platz (.45 ACP)"
"slots/silencer_type_45";".45 ACP";".45 ACP";".45 ACP"
"slots/silencer_9_19";"Silencer slot (9х19 mm.)";"Слот для глушителя (9х19 мм.)";"Schalldämpfer-Platz (9x19 mm.)"
"slots/silencer_type_9_19";"9x19 mm.";"9x19 мм.";"9x19 mm."
"slots/silencer_556";"Silencer slot (5.56 mm.)";"Слот для глушителя (5.56 мм.)";"Schalldämpfer-Platz (5.56 mm.)"
"slots/silencer_type_556";"5.56 mm.";"5.56 мм.";"5.56 mm."
"slots/silencer_ash_12";"Silencer slot (ASh-12)";"Слот для глушителя (АШ-12)";"Schalldämpfer-Slot (ASh-12)"
"slots/silencer_type_ash_12";"ASh-12";"АШ-12";"ASh-12"
"slots/stock";"Stock slot";"Слот для приклада";"Schaft-Slot"
"slots/stock_ak";"Stock slot (AK)";"Слот для приклада (АК)";"Schaft-Slot (AK)"
"slots/stock_m249";"Stock slot (M249)";"Слот для приклада (М249)";"Schaft-Slot (M249)"
"slots/stock_pkm";"Stock slot (PKM)";"Слот для приклада (ПКМ)";"Schaft-Slot (PKM)"
"slots/stock_m_gun";"Stock slot (M series)";"Слот для приклада (М серия)";"Schaft-Slot (M-Serie)"
"slots/stock_scorpion_evo";"Stock slot (Scorpion EVO 3)";"Слот для приклада (Scorpion EVO 3)";"Stock slot (Scorpion EVO 3)"
"slots/stock_ks_23";"Stock slot (KS-23)";"Слот для приклада (КС-23)";"Stock slot (KS-23)"
"slots/stock_barrett_m82a1";"Stock slot (M82A1)";"Слот для приклада (M82A1)";"Stock slot (M82A1)"
"slots/picatinny_charm";"Charm slot (Picatinny Rail)";"Слот для брелков (Планка Пикатинни)";"Charm-Slot (Picatinny-Schiene)"
"slots/underbarrel_picatinny";"Underbarrel slot (Picatinny Rail)";"Подствольный слот (Планка Пикатинни)";"Underbarrel slot (Picatinny Rail)"
"slots/underbarrel_type_picatinny";"Picatinny Rail (Underbarrel)";"Планка Пикатинни (Подствольная)";"Picatinny Rail (Underbarrel)"
"slots/left_barrel_picatinny";"Left tactical slot (Picatinny Rail)";"Левый тактический слот (Планка Пикатинни)";"Left tactical slot (Picatinny Rail)"
"slots/left_barrel_type_picatinny";"Picatinny Rail (Left)";"Планка Пикатинни (Слева)";"Picatinny Rail (Left)"
"slots/right_barrel_picatinny";"Right tactical slot (Picatinny Rail)";"Правый тактический слот (Планка Пикатинни)";"Right tactical slot (Picatinny Rail)"
"slots/right_barrel_type_picatinny";"Picatinny Rail (Right)";"Планка Пикатинни (Справа)";"Picatinny Rail (Right)"
"slots/m110a1_bipod_slot";"Bipod slot (M110A1)";"Слот для сошек (M110A1)";"Bipod slot (M110A1)"
"slots/chronogene";"Chronogene slot";"Слот для хроногена";"Chronogene-Platz"
"slots/alter";"Alter selection";"Выбор Альтера";"Auswahl ändern"
"items/speed_mult_chronogene_t1";"Speed I";"Скорость I";"Geschwindigkeit I"
"items/speed_mult_chronogene_t1/desc";"I used to run from dogs a lot when I was a kid.";"В детстве я часто бегал от собак.";"Ich rannte oft vor Hunden weg, als ich ein Kind war."
"items/speed_mult_chronogene_t2";"Speed II";"Скорость II";"Geschwindigkeit II"
"items/speed_mult_chronogene_t2/desc";"I bet I'm faster than a bicycle!";"Спорим, я быстрее велосипеда?";"Ich wette, ich bin schneller als ein Fahrrad!"
"items/speed_mult_chronogene_t3";"Speed III";"Скорость III";"Geschwindigkeit III"
"items/speed_mult_chronogene_t3/desc";"University running champion.";"Чемпион Университета по бегу.";"Universitäts-Laufmeister."
"items/jump_mult_chronogene_t1";"Jump I";"Прыжок I";"Sprung I"
"items/jump_mult_chronogene_t1/desc";"Jackie Chan's biggest fan!";"Обожаю Джеки Чана!";"Jackie Chan's größter Fan!"
"items/jump_mult_chronogene_t2";"Jump II";"Прыжок II";"Sprung II"
"items/jump_mult_chronogene_t2/desc";"My training ground is rooftops and fences.";"Мой тренировочный зал - крыши и заборы.";"My training ground is rooftops and fences."
"items/jump_mult_chronogene_t3";"Jump III";"Прыжок III";"Sprung III"
"items/jump_mult_chronogene_t3/desc";"I wanted to go to art class... Why acrobatics?";"Я же хотел в кружок рисования... Почему акробатика?";"Ich wollte in den Kunstunterricht... Warum Akrobatik?"
"items/weight_penalty_reduction_chronogene_t1";"Carrying capacity I";"Грузоподъёмность I";"Tragekapazität I"
"items/weight_penalty_reduction_chronogene_t1/desc";"Water dispenser bottle? Easy!";"Бутылка от офисного кулера? Легко!";"Wasserflasche für Spender? Kein Problem!"
"items/weight_penalty_reduction_chronogene_t2";"Carrying capacity II";"Грузоподъёмность II";"Tragekapazität II"
"items/weight_penalty_reduction_chronogene_t2/desc";"Do we really need a six-person tent for the picnic?";"Нам точно нужна шестиместная палатка на пикник?";"Brauchen wir wirklich ein Zelt für sechs Personen für das Picknick?"
"items/weight_penalty_reduction_chronogene_t3";"Carrying capacity III";"Грузоподъёмность III";"Tragekapazität III"
"items/weight_penalty_reduction_chronogene_t3/desc";"I'm gonna carry you in my arms for the rest of my life!";"Я готов носить тебя на руках всю жизнь!";"Ich werde dich für den Rest meines Lebens in meinen Armen tragen!"
"items/active_matter_gathering_mult_chronogene_t1";"Active Matter Gathering I";"Сбор Активной Материи I";"Active Matter Sammeln I"
"items/active_matter_gathering_mult_chronogene_t1/desc";"Look, something shiny!";"Смотри, что-то блестит!";"Schau, etwas Glänzendes!"
"items/active_matter_gathering_mult_chronogene_t2";"Active Matter Gathering II";"Сбор Активной Материи II";"Active Matter Sammeln II"
"items/active_matter_gathering_mult_chronogene_t2/desc";"Today we will open our chakras and absorb all the precious power and warmth of the Sun!";"Сегодня мы откроем наши чакры и вберём всю драгоценную силу и тепло Солнца!";"Heute werden wir unsere Chakras öffnen und die ganze kostbare Energie und Wärme der Sonne aufnehmen!"
"items/active_matter_gathering_mult_chronogene_t3";"Active Matter Gathering III";"Сбор Активной Материи III";"Active Matter Sammeln III"
"items/active_matter_gathering_mult_chronogene_t3/desc";"I feel a disturbance in the Force.";"Я чувствую колебание Силы.";"Ich spüre eine Störung in der Macht."
"items/item_usage_speed_chronogene_t1";"Fine motor skill I";"Мелкая моторика I";"Feinmotorik I"
"items/item_usage_speed_chronogene_t1/desc";"I swear, I know how to use chopsticks!";"Клянусь, я умею есть палочками!";"Sieh dir meine Hände an."
"items/item_usage_speed_chronogene_t2";"Fine motor skill II";"Мелкая моторика II";"Feinmotorik II"
"items/item_usage_speed_chronogene_t2/desc";"Which hand is the coin in?";"В какой руке монетка?";"Sieh dir meine Hände an."
"items/item_usage_speed_chronogene_t3";"Fine motor skill III";"Мелкая моторика III";"Feinmotorik III"
"items/item_usage_speed_chronogene_t3/desc";"A piano? Of course not, a console joystick!";"Пианино? Конечно нет, джойстик консоли!";"Sieh dir meine Hände an."
"items/item_recognition_speed_chronogene_t1";"Examination I";"Осмотр I";"Untersuchung I"
"items/item_recognition_speed_chronogene_t1/desc";"I have dog nose and eagle eye!";"Нюх как у собаки, а глаз как у орла!";"Ich habe eine Hundeschnauze und ein Adlerauge!"
"items/item_recognition_speed_chronogene_t2";"Examination II";"Осмотр II";"Untersuchung II"
"items/item_recognition_speed_chronogene_t2/desc";"I have dog nose and eagle eye!";"Нюх как у собаки, а глаз как у орла!";"Ich habe eine Hundeschnauze und ein Adlerauge!"
"items/item_recognition_speed_chronogene_t3";"Examination III";"Осмотр III";"Untersuchung III"
"items/item_recognition_speed_chronogene_t3/desc";"I have dog nose and eagle eye!";"Нюх как у собаки, а глаз как у орла!";"Ich habe eine Hundeschnauze und ein Adlerauge!"
"items/melee_strength_chronogene_t1";"Melee I";"Ближний бой I";"Nahkampf I"
"items/melee_strength_chronogene_t1/desc";"Let's fight! Sticks are swords!";"Давай сражаться! Палки это мечи!";"Fürchte dich nicht vor einem Messer, sondern vor einer Gabel – denn ein Stich kann vier Löcher machen!"
"items/melee_strength_chronogene_t2";"Melee II";"Ближний бой II";"Nahkampf II"
"items/melee_strength_chronogene_t2/desc";"Control the center line. Begin with the blade. En garde!";"Контролируй центральную линию. Начинай укол с руки. Ан гард!";"Fürchte dich nicht vor einem Messer, sondern vor einer Gabel – denn ein Stich kann vier Löcher machen!"
"items/melee_strength_chronogene_t3";"Melee III";"Ближний бой III";"Nahkampf III"
"items/melee_strength_chronogene_t3/desc";"He's a cook, plain and simple. And he's good with cooking knives...";"Он просто-напросто кок. И неплохо управляется с поварским ножом.";"Fürchte dich nicht vor einem Messer, sondern vor einer Gabel – denn ein Stich kann vier Löcher machen!"
"items/bullet_proof_chronogene_t1";"Bulletproof I";"Пуленепробиваемость I";"Kugelsicher I"
"items/bullet_proof_chronogene_t1/desc";"Steel skin.";"Стальная кожа.";"Stahls Haut"
"items/bullet_proof_chronogene_t2";"Bulletproof II";"Пуленепробиваемость II";"Kugelsicher II"
"items/bullet_proof_chronogene_t2/desc";"Steel skin.";"Стальная кожа.";"Stahls Haut"
"items/bullet_proof_chronogene_t3";"Bulletproof III";"Пуленепробиваемость III";"Kugelsicher III"
"items/bullet_proof_chronogene_t3/desc";"Steel skin.";"Стальная кожа.";"Stahls Haut"
"items/melee_proof_chronogene_t1";"Resilience I";"Стойкость I";"Resilienz I"
"items/melee_proof_chronogene_t1/desc";"Steel bones.";"Стальные кости.";"Stahlknochen"
"items/melee_proof_chronogene_t2";"Resilience II";"Стойкость II";"Resilienz II"
"items/melee_proof_chronogene_t2/desc";"Steel bones.";"Стальные кости.";"Stahlknochen"
"items/melee_proof_chronogene_t3";"Resilience III";"Стойкость III";"Resilienz III"
"items/melee_proof_chronogene_t3/desc";"Steel bones.";"Стальные кости.";"Stahlknochen"
"items/shock_reduction_chronogene_t1";"Pain Shock I";"Болевой шок I";"Schock des Schmerzes I"
"items/shock_reduction_chronogene_t1/desc";"This is fine.";"Всё в порядке.";"Das ist in Ordnung"
"items/shock_reduction_chronogene_t2";"Pain Shock II";"Болевой шок II";"Schock des Schmerzes II"
"items/shock_reduction_chronogene_t2/desc";"This is fine.";"Всё в порядке.";"Das ist in Ordnung"
"items/shock_reduction_chronogene_t3";"Pain Shock III";"Болевой шок III";"Schock des Schmerzes III"
"items/shock_reduction_chronogene_t3/desc";"This is fine.";"Всё в порядке.";"Das ist in Ordnung"
"items/heal_improvement_chronogene_t1";"Heal Efficiency I";"Эффективность лечения I";"Heilungseffizienz I"
"items/heal_improvement_chronogene_t1/desc";"This is just a scratch.";"Это всего лишь царапина.";"Das ist nur ein Kratzer"
"items/heal_improvement_chronogene_t2";"Heal Efficiency II";"Эффективность лечения II";"Heilungseffizienz II"
"items/heal_improvement_chronogene_t2/desc";"This is just a wound.";"Это всего лишь рана.";"Das ist nur eine Wunde"
"items/heal_improvement_chronogene_t3";"Heal Efficiency III";"Эффективность лечения III";"Heilungseffizienz III"
"items/heal_improvement_chronogene_t3/desc";"This is just a fracture.";"Это всего лишь перелом.";"Das ist nur ein Bruch"
"items/stamina_chronogene_t1";"Endurance I";"Выносливость I";"Ausdauer I"
"items/stamina_chronogene_t1/desc";"Bear's Endurance!";"Медвежья выносливость!";"Bärenausdauer!"
"items/stamina_chronogene_t2";"Endurance II";"Выносливость II";"Ausdauer II"
"items/stamina_chronogene_t2/desc";"Bear's Endurance!";"Медвежья выносливость!";"Bärenausdauer!"
"items/stamina_chronogene_t3";"Endurance III";"Выносливость III";"Ausdauer III"
"items/stamina_chronogene_t3/desc";"Bear's Endurance!";"Медвежья выносливость!";"Bärenausdauer!"
"items/stamina_regeneration_chronogene_t1";"Serenity I";"Спокойствие I";"Gelassenheit I"
"items/stamina_regeneration_chronogene_t1/desc";"Cool as a cucumber.";"Спокоен как удав.";"Kühl wie eine Gurke."
